Institution Name,Main Office,Branch Name,Branch Number,Established Date,Acquired Date,Street Address,City,County,State,Zipcode,Latitude,Longitude,2010 Deposits,2011 Deposits,2012 Deposits,2013 Deposits,2014 Deposits,2015 Deposits,2016 Deposits
JPMorgan Chase Bank,0,Bay Parkway and 85th St Branch,26,03/25/1964,,8418 Bay Parkway,Brooklyn,Kings,NY,11214,40.60268,-73.99304,187794,195965,214398,227519,252124,278547,297821
JPMorgan Chase Bank,0,Grand Army Plaza Branch,33,03/14/1927,,401 Flatbush Avenue,Brooklyn,Kings,NY,11238,40.67576,-73.97135,135506,136764,146051,163797,178001,227647,255084
JPMorgan Chase Bank,0,Carroll Gardens Branch,34,06/09/1913,,79 Hamilton Avenue,Brooklyn,Kings,NY,11231,40.68279,-74.00556,46199,51254,54859,70898,69824,77536,79441
JPMorgan Chase Bank,0,Third Avenue & 51st Street Branch,37,05/05/1961,,850 Third Avenue,New York City,New York,NY,10022,40.75675,-73.97008,463550,456859,508804,540179,595786,581725,643283
JPMorgan Chase Bank,0,East End Branch,38,05/22/1961,,1495 York Avenue,New York City,New York,NY,10075,40.77158,-73.95038,299301,306225,317068,359173,410737,425169,447613
JPMorgan Chase Bank,0,Audubon Branch,40,04/02/1917,,3940 Broadway,New York City,New York,NY,10032,40.83951,-73.94077,91380,97219,104093,106875,114292,122220,139830
JPMorgan Chase Bank,0,First Avenue & 72nd Street Branch,41,06/15/1964,,360 East 72nd Street,New York City,New York,NY,10021,40.76815,-73.95696,384454,364852,387515,440753,500574,483835,536219
JPMorgan Chase Bank,0,Soho Branch,42,10/18/1954,,525 Broadway,New York City,New York,NY,10012,40.7229,-73.99889,286082,320252,344141,385854,488886,508122,615029
JPMorgan Chase Bank,0,Times Square Branch,44,05/02/1927,,3 Times Square,New York City,New York,NY,10036,40.75658,-73.98629,313024,338725,432032,449569,474047,495929,532606
JPMorgan Chase Bank,0,Broadway Lispenard Branch,45,08/01/1922,,407 Broadway,New York City,New York,NY,10013,40.72258,-74.00624,150592,160595,204645,244811,275726,306902,333954
JPMorgan Chase Bank,0,Chinatown Branch,46,11/24/1919,,180 Canal Street,New York City,New York,NY,10013,40.71668,-73.9977,480964,523824,589914,638030,715607,791413,892267
JPMorgan Chase Bank,0,Yorkville Branch,52,06/15/1914,,126 East 86th Street,New York City,New York,NY,10028,40.77966,-73.95609,383871,410662,437302,490441,538860,526558,535283
JPMorgan Chase Bank,0,Columbus Avenue & 72nd Street Branch,62,10/18/1954,,260 Columbus Avenue,New York City,New York,NY,10023,40.77746,-73.97885,311593,350759,338917,356374,384371,383014,429310
JPMorgan Chase Bank,0,Bloomingdales Branch,63,08/02/1915,,770 Lexington Avenue,New York City,New York,NY,10065,40.76302,-73.96761,273852,284524,295659,301179,365023,356922,353925
JPMorgan Chase Bank,0,London Terrace Branch,64,05/01/1931,,475 West 23rd Street,New York City,New York,NY,10011,40.74743,-74.00339,143289,163960,168332,194739,224536,245573,249426
JPMorgan Chase Bank,0,Tremont Branch,71,10/18/1954,,601 East Tremont Avenue,Bronx,Bronx,NY,10457,40.84628,-73.89296,48180,43965,45267,48717,53949,56093,56539
JPMorgan Chase Bank,0,Chelsea Branch,79,06/15/1921,,"158 West 14th Street, 2nd Floor",New York City,New York,NY,10011,40.73803,-73.99857,201447,208175,207242,226551,236501,242861,260559
JPMorgan Chase Bank,0,Lexington Avenue & 72nd Street Branch,81,01/15/1917,,1003 Lexington Avenue,New York City,New York,NY,10021,40.77067,-73.96198,198144,187406,232051,238634,263619,293597,304304
JPMorgan Chase Bank,0,Sheridan Square Branch,82,01/03/1920,,204 West Fourth Street,New York City,New York,NY,10014,40.73333,-74.00262,307978,323295,339057,387560,398346,440728,454616
JPMorgan Chase Bank,0,Sutton Place Branch,83,06/07/1926,,994 First Avenue,New York City,New York,NY,10022,40.7568,-73.96401,381890,416914,446512,469062,437428,474278,513961
JPMorgan Chase Bank,0,Empire State Branch,85,04/01/1924,,349 Fifth Avenue and 34th Street,New York City,New York,NY,10016,40.7482,-73.98473,666584,655384,733993,833534,890817,7099781,15580897
JPMorgan Chase Bank,0,Fit Seventh Avenue Branch,86,09/17/1929,,305 Seventh Avenue,New York City,New York,NY,10001,40.74677,-73.99363,270220,289307,336648,359183,389188,400925,491408
JPMorgan Chase Bank,0,West 86th Street Branch,95,12/09/1929,,59 West 86th Street,New York City,New York,NY,10024,40.78609,-73.97107,297520,298637,307545,329475,358566,359705,374965
JPMorgan Chase Bank,0,Gracie Square Branch,98,02/01/1938,,453 East 86th Street,New York City,New York,NY,10028,40.77643,-73.94813,199955,201831,226978,249119,270207,276765,291172
JPMorgan Chase Bank,0,Third Avenue & 41st Street Branch,99,10/02/1961,,633 Third Avenue,New York City,New York,NY,10017,40.74977,-73.97518,536930,534039,584368,652110,674841,708847,741339
JPMorgan Chase Bank,0,Exxon Building Branch,105,09/09/1959,,1251 Avenue Of The Americas,New York City,New York,NY,10020,40.75971,-73.98065,1633290,1755963,1915696,1999711,2004986,2008347,2072137
JPMorgan Chase Bank,0,Astoria 30th Avenue Branch,110,06/19/1961,,31-05 30th Avenue,Long Island City,Queens,NY,11102,40.7667,-73.92097,148276,155347,176789,206933,228963,250939,272444
JPMorgan Chase Bank,0,Bay Terrace Branch,111,06/06/1960,,2398 Bell Boulevard,Bayside,Queens,NY,11360,40.77942,-73.77563,169397,164359,184653,210463,239369,253658,279639
JPMorgan Chase Bank,0,Far Rockaway Branch,112,10/05/1931,,1912 Mott Avenue,Far Rockaway,Queens,NY,11691,40.60378,-73.752,41599,41935,41661,46938,48890,51464,52268
JPMorgan Chase Bank,0,Downtown Flushing Branch,113,01/29/1906,,39-01 Main Street,Flushing,Queens,NY,11354,40.76001,-73.83035,488717,553758,665005,819541,984053,1101585,1246785
JPMorgan Chase Bank,0,Forest Hills 71st Ave Branch,114,01/02/1922,,107-36 71st Avenue,Forest Hills,Queens,NY,11375,40.72118,-73.8441,369462,377148,398091,436707,469300,502087,520197
JPMorgan Chase Bank,0,Columbia University Branch,117,01/01/1824,,2824-26 Broadway,New York City,New York,NY,10025,40.80369,-73.96685,476616,500560,509924,535937,552926,585744,645046
JPMorgan Chase Bank,0,Rochdale Village Mall Branch,118,12/26/1963,,165-40 Baisley Boulevard,Jamaica,Queens,NY,11434,40.67933,-73.77793,79155,79979,79218,86187,92112,103283,111129
JPMorgan Chase Bank,0,Hunters Point Branch,121,10/18/1954,,10-51 Jackson Avenue,Long Island City,Queens,NY,11101,40.74251,-73.95271,130285,136220,146084,175561,188246,226631,248397
JPMorgan Chase Bank,0,Steinway and Broadway Branch,122,01/27/1919,,38-18 Broadway,Astoria,Queens,NY,11103,40.75923,-73.9196,191624,190802,210850,237922,242952,253736,321267
JPMorgan Chase Bank,0,Queens Blvd and 64th Ave Branch,123,12/28/1959,,97-41 Queens Boulevard,Rego Park,Queens,NY,11374,40.72943,-73.85975,188844,193020,202799,215948,225394,217878,224070
JPMorgan Chase Bank,0,Stapleton Branch,124,05/01/1928,,621 Bay Street,Staten Island,Richmond,NY,10304,40.62683,-74.07567,50571,49589,47365,53341,52521,54804,56262
JPMorgan Chase Bank,0,Oceanside Branch,127,06/23/1956,,3285 Long Beach Road,Oceanside,Nassau,NY,11572,40.63109,-73.64089,186475,192357,211930,225057,220445,223883,292667
JPMorgan Chase Bank,0,Pelham Branch,129,09/16/1935,,35 Fifth Avenue,Pelham,Westchester,NY,10803,40.91176,-73.80945,195892,194287,202564,205522,229560,225678,246944
JPMorgan Chase Bank,0,Rockville Centre Branch,131,06/04/1963,,10 North Village Avenue,Rockville Centre,Nassau,NY,11570,40.65661,-73.64764,356382,372278,416956,446580,446229,471622,513718
JPMorgan Chase Bank,0,Hempstead Fulton Branch,132,05/06/1963,,136 Fulton Street,Hempstead,Nassau,NY,11550,40.70674,-73.63147,83334,80416,82907,91316,91996,92963,99338
JPMorgan Chase Bank,0,Forest Avenue Livermore Branch,136,11/12/1966,,1480 Forest Avenue,Staten Island,Richmond,NY,10302,40.62419,-74.13831,102440,103511,108168,167418,174257,195843,217998
JPMorgan Chase Bank,0,Woodbury Branch,137,01/07/1967,,7977 Jericho Turnpike,Woodbury,Nassau,NY,11797,40.81449,-73.47665,336232,364094,407292,434065,473883,443733,509827
JPMorgan Chase Bank,0,Elmsford Branch,138,05/13/1967,,324 Saw Mill River Road,Elmsford,Westchester,NY,10523,41.06551,-73.81447,69960,82378,75417,100752,117726,174351,115819
JPMorgan Chase Bank,0,Plainview Branch,140,11/10/1967,,1064 Old Country Road,Plainview,Nassau,NY,11803,40.7763,-73.47066,227651,245466,247680,261922,289271,285591,292952
JPMorgan Chase Bank,0,Coney Island Avenue Branch,142,01/06/1968,,2730 Coney Island Avenue,Brooklyn,Kings,NY,11235,40.59016,-73.96064,151017,153682,156303,183572,199027,199141,223629
JPMorgan Chase Bank,0,Thornwood Branch,144,02/01/1969,,608 Columbus Avenue,Thornwood,Westchester,NY,10594,41.11301,-73.77218,140401,145620,151223,162526,167717,166077,184267
JPMorgan Chase Bank,0,Garment Center Branch,148,11/24/1969,,1411 Broadway,New York City,New York,NY,10018,40.75411,-73.98694,722415,756573,825562,921794,1028179,1088274,1107800
JPMorgan Chase Bank,0,Bainbridge Branch,149,01/17/1970,,3169 Bainbridge Avenue,Bronx,Bronx,NY,10467,40.87514,-73.87956,95881,97372,101001,106185,112012,108989,113878
JPMorgan Chase Bank,0,Bayside South Branch,151,09/26/1970,,215-16 73rd Avenue,Oakland Gardens,Queens,NY,11364,40.74058,-73.75897,154441,155722,166811,178915,187522,185374,197150
JPMorgan Chase Bank,0,White Plains Branch,154,04/17/1971,,191 Mamaroneck Avenue,White Plains,Westchester,NY,10601,41.0281,-73.76476,435292,415391,428516,456042,436171,452475,452700
JPMorgan Chase Bank,0,Kew Gardens Hills Branch,156,11/15/1971,,71-41 Main Street,Flushing,Queens,NY,11367,40.72713,-73.8219,253851,277587,298261,323460,338008,358750,373343
JPMorgan Chase Bank,0,Restoration Plaza Branch,158,12/20/1971,,1380 Fulton Street,Brooklyn,Kings,NY,11216,40.68017,-73.94548,103719,108159,114156,121110,131026,147089,168128
JPMorgan Chase Bank,0,Water Street Branch,159,04/03/1972,,55 Water Street,New York City,New York,NY,10041,40.62724,-74.07584,1002240,965981,959075,976472,996233,992896,1069059
JPMorgan Chase Bank,0,Mineola Branch,163,11/10/1972,,32 Jericho Turnpike,Mineola,Nassau,NY,11501,40.75111,-73.63561,88738,93165,100406,115772,128278,135141,176190
JPMorgan Chase Bank,0,East Flushing Branch,165,06/08/1973,,196-03 Northern Boulevard,Flushing,Queens,NY,11358,40.75799,-73.7855,82032,90628,96660,106917,115674,121256,130731
JPMorgan Chase Bank,0,Knolls Crescent Branch,171,12/06/1974,,13b Knolls Crescent,Bronx,Bronx,NY,10463,40.87886,-73.91723,102620,104179,111486,116699,119020,120116,122159
JPMorgan Chase Bank,0,Sixth Avenue and 23rd St Branch,172,01/06/1975,,71 West 23rd Street,New York City,New York,NY,10010,40.74255,-73.99181,198983,217332,256321,283391,300821,326825,400764
JPMorgan Chase Bank,0,Amityville Driveup Branch,174,06/14/1954,01/18/1975,4 John St,Amityville,Suffolk,NY,11701,40.67894,-73.41969,93106,92272,96994,118907,115708,120730,125922
JPMorgan Chase Bank,0,Babylon Branch,176,03/07/1955,01/18/1975,31 West Main Street,Babylon,Suffolk,NY,11702,40.69642,-73.32368,261976,262704,261589,289395,281756,292377,314562
JPMorgan Chase Bank,0,Center Moriches Main St Branch,178,11/07/1955,01/18/1975,366 Main St,Center Moriches,Suffolk,NY,11934,40.80038,-72.79423,109615,108206,115658,116485,119196,124078,125948
JPMorgan Chase Bank,0,Deer Park Grand Blvd Branch,184,01/21/1965,01/18/1975,615 Grand Boulevard,Deer Park,Suffolk,NY,11729,40.75895,-73.32,161904,163054,172441,186840,194550,211782,245797
JPMorgan Chase Bank,0,East Northportlarkfield Rd Branch,186,11/04/1950,01/18/1975,271 Larkfield Road,East Northport,Suffolk,NY,11731,40.87534,-73.32424,112628,113621,113899,121359,128286,129058,135773
JPMorgan Chase Bank,0,Bar Harbour Branch,193,05/11/1957,01/18/1975,4970 Merrick Road,Massapequa Park,Nassau,NY,11762,40.66638,-73.45151,144089,140839,154233,182186,183189,191372,225002
JPMorgan Chase Bank,0,Melville Branch,197,12/15/1958,01/18/1975,115 Broad Hollow Road,Melville,Suffolk,NY,11747,40.78894,-73.41543,150161,175267,196333,211336,228141,238768,257023
JPMorgan Chase Bank,0,North Bellmore Branch,198,10/20/1956,01/18/1975,1542 Bellmore Avenue,North Bellmore,Nassau,NY,11710,40.68369,-73.53926,118453,120413,120700,129811,140842,145634,160506
JPMorgan Chase Bank,0,Northport Main St Branch,200,12/23/1952,01/18/1975,54 Main Street,Northport,Suffolk,NY,11768,40.90022,-73.35111,114464,124469,123740,130417,146551,148851,161857
JPMorgan Chase Bank,0,Riverhead Shopping Center Branch,204,07/15/1957,01/18/1975,1450 Old Country Road,Riverhead,Suffolk,NY,11901,40.92665,-72.68985,18110,22493,30425,34501,37364,42626,51220
JPMorgan Chase Bank,0,Seaford Branch,207,05/26/1958,01/18/1975,3875 Merrick Road,Seaford,Nassau,NY,11783,40.66589,-73.48901,166917,161700,165219,178338,177770,176259,196502
JPMorgan Chase Bank,0,Southampton Driveup Branch,209,03/18/1963,01/18/1975,66 Nugent St,Southampton,Suffolk,NY,11968,40.88602,-72.39175,181336,185736,205727,244476,286428,354528,377210
JPMorgan Chase Bank,0,South Huntington Branch,211,07/14/1962,01/18/1975,55 W Jericho Tpke,Huntington Station,Suffolk,NY,11746,40.82849,-73.41184,170273,166491,188734,194858,203226,212423,221615
JPMorgan Chase Bank,0,North Massapequa Branch,212,10/26/1957,01/18/1975,1090 Hicksville Road,North Massapequa,Nassau,NY,11758,40.69588,-73.48077,231524,241475,258925,266756,260254,277246,295880
JPMorgan Chase Bank,0,Wantagh Branch,213,10/04/1952,01/18/1975,1201 Wantagh Avenue,Wantagh,Nassau,NY,11793,40.69326,-73.50773,231604,229646,234722,248764,249229,261668,290658
JPMorgan Chase Bank,0,West Babylon Branch,214,08/08/1963,01/18/1975,595 Sunrise Highway,West Babylon,Suffolk,NY,11704,40.71363,-73.34911,129530,133026,139176,145220,145100,148631,218498
JPMorgan Chase Bank,0,Wyandanch Compare Foods Branch,217,04/23/1960,01/18/1975,"1551 Straight Path Road, Assoc. Mkt.",Wyandanch,Suffolk,NY,11798,40.75205,-73.36144,19727,19658,20534,21076,20549,22264,23416
JPMorgan Chase Bank,0,North Patchogue Branch,222,03/28/1968,01/18/1975,472 Medford Avenue,North Patchogue,Suffolk,NY,11772,40.78404,-73.00877,84085,84929,87575,90701,93801,93201,105594
JPMorgan Chase Bank,0,West Bay Shore Branch,223,04/04/1968,01/18/1975,840 Sunrise Highway,Bay Shore,Suffolk,NY,11706,40.72923,-73.27809,138095,137232,144709,158294,153951,160476,172331
JPMorgan Chase Bank,0,Huntington Branch,226,11/12/1968,01/18/1975,350 Main Street,Huntington,Suffolk,NY,11743,40.87074,-73.43057,468473,521308,555338,610032,606844,679446,714983
JPMorgan Chase Bank,0,Mineola Court House Branch,235,06/29/1970,01/18/1975,216 Old Country Road,Mineola,Nassau,NY,11501,40.73882,-73.64001,274996,276252,290593,291617,287279,307242,307257
JPMorgan Chase Bank,0,East Farmingdale Branch,239,04/28/1971,01/18/1975,1745 Broad Hollow Road,East Farmingdale,Suffolk,NY,11735,40.74442,-73.42264,62842,95038,89987,122210,151270,132133,186493
JPMorgan Chase Bank,0,Arthur Avenue Branch,245,11/24/1952,01/18/1975,2402 Arthur Avenue,Bronx,Bronx,NY,10458,40.8558,-73.88736,91268,89264,91370,98079,100594,104040,115766
JPMorgan Chase Bank,0,Madison Avenue & 86th Street Branch,247,05/04/1964,01/18/1975,12 East 86th Street,New York City,New York,NY,10028,40.78133,-73.96007,409788,464061,482450,467755,463682,461811,482959
JPMorgan Chase Bank,0,Hauppauge Branch,255,05/24/1972,01/18/1975,200 Motor Parkway,Hauppauge,Suffolk,NY,11788,40.80679,-73.25463,169328,177093,197653,208731,220078,250431,280743
JPMorgan Chase Bank,0,Macarthur Airport Vets Hwy Branch,257,10/25/1972,01/18/1975,4155 Veterans Memorial Highway,Ronkonkoma,Suffolk,NY,11779,40.78232,-73.09576,122497,116919,129243,132146,144141,152568,167321
JPMorgan Chase Bank,0,Smithtown Branch,272,01/12/1956,11/10/1975,42 West Main Street,Smithtown,Suffolk,NY,11787,40.85479,-73.19593,185851,190827,197592,220513,223066,242579,279616
JPMorgan Chase Bank,0,Stony Brook Branch,276,04/03/1970,11/10/1975,2210 Nesconset Highway,Stony Brook,Suffolk,NY,11790,40.87261,-73.12509,186061,207307,186930,193516,213523,216289,229279
JPMorgan Chase Bank,0,Fort Salonga Branch,284,05/31/1974,11/10/1975,2 Fort Salonga Road,Fort Salonga,Suffolk,NY,11768,40.9124,-73.30051,87282,72358,88157,101644,102771,104226,132302
JPMorgan Chase Bank,0,Nanuet Driveup Branch,287,08/15/1961,04/01/1977,39 Smith Street,Nanuet,Rockland,NY,10954,41.11233,-74.01439,190614,202278,214019,225500,232985,231234,237031
JPMorgan Chase Bank,0,New York North Branch,288,02/15/1958,04/01/1977,333 Route 303,Orangeburg,Rockland,NY,10962,41.04667,-73.94522,121750,131683,178281,165874,169818,167399,184491
JPMorgan Chase Bank,0,Valley Cottage Branch,290,12/02/1963,04/01/1977,124 Route 303,Valley Cottage,Rockland,NY,10989,41.11734,-73.94144,107207,111976,126575,129650,145166,152451,153305
JPMorgan Chase Bank,0,Yankee Stadium Branch,363,10/20/1928,10/26/1981,76 East 161st Street,Bronx,Bronx,NY,10451,40.82725,-73.92476,99634,108556,104552,112101,116762,121525,3480
JPMorgan Chase Bank,0,North Shore Towers Branch,368,07/27/1982,,27258 Grand Central Parkway,Floral Park,Queens,NY,11005,40.75923,-73.71294,110305,108121,111895,113204,112600,115365,122485
JPMorgan Chase Bank,0,Jefferson Valley Mall Branch,387,02/07/1984,,720 Lee Blvd At Route 6,Yorktown Heights,Westchester,NY,10598,41.33153,-73.80646,214831,216733,236906,273396,276412,271147,282530
JPMorgan Chase Bank,0,Gateway Plaza Branch,390,06/07/1984,,331-337 South End Avenue,New York City,New York,NY,10280,40.71053,-74.01629,260113,285836,287915,340904,345228,377184,364125
JPMorgan Chase Bank,0,Broadway and 79th Street Branch,425,10/01/1969,11/09/1990,2219 Broadway,New York City,New York,NY,10024,40.7839,-73.98015,395943,412710,489051,516803,584403,555985,584026
JPMorgan Chase Bank,0,Morris Park Branch,433,08/31/1983,07/19/1991,1068 Morris Park Avenue,Bronx,Bronx,NY,10461,40.84911,-73.85402,126512,129094,136031,145582,151088,164809,223222
JPMorgan Chase Bank,0,Tottenville Branch,444,08/23/1974,11/08/1991,280 Page Avenue,Staten Island,Richmond,NY,10307,40.51718,-74.23413,100874,106069,105249,124999,136014,152985,163243
JPMorgan Chase Bank,0,Brentwood Branch,452,12/01/1936,03/13/1992,1800 Brentwood Road,Brentwood,Suffolk,NY,11717,40.77857,-73.24617,67617,71120,70120,77884,78620,81544,88342
JPMorgan Chase Bank,0,Lake Ronkonkoma Branch,458,07/23/1965,03/13/1992,601 Portion Road Lake Shore Plaza,Lake Ronkonkoma,Suffolk,NY,11779,40.83041,-73.09187,136362,142057,164646,161146,162623,161719,172494
JPMorgan Chase Bank,0,Bellmore Branch,465,02/21/1966,06/20/1992,2631 Merrick Road,Bellmore,Nassau,NY,11710,40.66299,-73.52854,157461,171357,180755,179743,193951,205398,218548
JPMorgan Chase Bank,0,Allerton Avenue Branch,466,08/01/1936,06/20/1992,748 Allerton Avenue,Bronx,Bronx,NY,10467,40.8654,-73.86543,66486,67543,63695,66252,70273,76970,82549
JPMorgan Chase Bank,0,Riverdale North Branch,467,04/29/1963,06/20/1992,5656 Riverdale Avenue,Bronx,Bronx,NY,10471,40.90559,-73.90439,96722,102128,107326,118795,130364,127864,139053
JPMorgan Chase Bank,0,Boynton Avenue Branch,469,04/14/1927,06/20/1992,1536 Westchester Avenue,Bronx,Bronx,NY,10472,40.82864,-73.87836,38890,39441,45274,50041,56442,60162,61872
JPMorgan Chase Bank,0,City Island Branch,470,05/15/1939,06/20/1992,207 City Island Avenue,Bronx,Bronx,NY,10464,40.84425,-73.78537,74028,71203,74897,83269,84015,81752,87474
JPMorgan Chase Bank,0,Concourse Branch,471,12/06/1926,06/20/1992,128 East Fordham Road,Bronx,Bronx,NY,10468,40.86236,-73.8981,92532,96626,103650,110381,115712,123640,129136
JPMorgan Chase Bank,0,Melrose Branch,472,11/21/1949,06/20/1992,360 East 149th Street,Bronx,Bronx,NY,10455,40.81641,-73.91896,143362,139353,138835,142950,142865,148608,153533
JPMorgan Chase Bank,0,Mosholu Branch,473,06/15/1928,06/20/1992,3408 Jerome Avenue,Bronx,Bronx,NY,10467,40.881,-73.88322,85813,95107,98688,220304,118507,118387,131595
JPMorgan Chase Bank,0,Pelham Parkway Branch,474,11/06/1928,06/20/1992,2126 White Plains Road,Bronx,Bronx,NY,10462,40.85414,-73.86764,166924,168331,172688,183194,186641,206817,214699
JPMorgan Chase Bank,0,New Lots Branch,479,03/13/1961,06/20/1992,2100 Linden Boulevard,Brooklyn,Kings,NY,11207,40.66074,-73.88503,40157,42180,42957,47242,53978,56586,60407
JPMorgan Chase Bank,0,Boro Park Branch,483,02/02/1925,06/20/1992,4901 Thirteenth Avenue,Brooklyn,Kings,NY,11219,40.63496,-73.9922,372403,377184,382038,499734,577501,666093,850875
JPMorgan Chase Bank,0,Brooklyn Trust Branch,485,10/16/1950,06/20/1992,177 Montague Street,Brooklyn,Kings,NY,11201,40.69423,-73.99223,463182,448075,480266,543999,594112,611802,656295
JPMorgan Chase Bank,0,Brownsville Branch,486,06/29/1903,06/20/1992,1697 Pitkin Avenue,Brooklyn,Kings,NY,11212,40.66971,-73.91058,26608,30392,31188,33872,34058,35972,40730
JPMorgan Chase Bank,0,Bushwick Branch,487,07/01/1904,06/20/1992,819 Grand Street,Brooklyn,Kings,NY,11211,40.712,-73.94064,80934,93327,101083,106129,109817,126775,139762
JPMorgan Chase Bank,0,Church Avenue Branch,488,12/22/1941,06/20/1992,891 Utica Avenue,Brooklyn,Kings,NY,11203,40.65128,-73.93028,76595,77506,81188,85793,96325,102320,110297
JPMorgan Chase Bank,0,Bedford and Dekalb Branch,490,10/16/1950,06/20/1992,975 Bedford Avenue,Brooklyn,Kings,NY,11205,40.69073,-73.9553,41628,42412,53210,66539,78930,89326,100545
JPMorgan Chase Bank,0,Flatbush Branch,491,01/01/1812,06/20/1992,883 Flatbush Avenue,Brooklyn,Kings,NY,11226,40.65042,-73.95864,117655,127056,133409,153540,159055,171222,194198
JPMorgan Chase Bank,0,Fourth Ave and 51st Street Branch,492,05/18/1912,06/20/1992,5101 Fourth Avenue,Brooklyn,Kings,NY,11220,40.64577,-74.01322,77872,79086,72429,81459,99274,103731,101875
JPMorgan Chase Bank,0,Flatlands Branch,493,09/01/1926,06/20/1992,1987 Flatbush Avenue,Brooklyn,Kings,NY,11234,40.62129,-73.93544,126379,114066,108546,108997,109926,123330,142094
JPMorgan Chase Bank,0,Newkirk Plaza Branch,494,03/10/1930,06/20/1992,1509 Foster Avenue,Brooklyn,Kings,NY,11230,40.63432,-73.96269,118751,123258,115551,148252,153831,164917,167768
JPMorgan Chase Bank,0,Kings Highway Branch,495,09/22/1930,06/20/1992,1663 East 17th Street,Brooklyn,Kings,NY,11229,40.60919,-73.95643,148665,149714,152949,176143,186245,202885,207354
JPMorgan Chase Bank,0,Mapleton Branch,496,09/13/1926,06/20/1992,6501 18th Avenue,Brooklyn,Kings,NY,11204,40.61909,-73.99014,152468,151279,177265,196219,199708,215111,241783
JPMorgan Chase Bank,0,Ninth Street Branch,498,12/29/1902,06/20/1992,444 5th Avenue,Brooklyn,Kings,NY,11215,40.66985,-73.98073,143163,161085,189245,205912,235212,248736,281082
JPMorgan Chase Bank,0,Havemeyer and Broadway Branch,499,04/28/1922,06/20/1992,225 Havemeyer Street,Brooklyn,Kings,NY,11211,40.70909,-73.95906,182139,212658,247696,282110,323918,361398,396328
JPMorgan Chase Bank,0,Avenue H Branch,500,10/01/1962,06/20/1992,1599 Flatbush Avenue,Brooklyn,Kings,NY,11210,40.63127,-73.946,100075,103583,109410,120122,118755,127984,174764
JPMorgan Chase Bank,0,Avenue U and East 17th St Branch,501,01/01/1900,06/20/1992,1722 Avenue U,Brooklyn,Kings,NY,11229,40.59911,-73.95374,257757,256109,269664,393884,410870,432799,480204
JPMorgan Chase Bank,0,Park Slope Branch,502,12/10/1928,06/20/1992,127 Seventh Avenue,Brooklyn,Kings,NY,11215,40.67313,-73.97627,237639,247785,278493,318071,336599,360810,426675
